Processed,Method,URI,Flags
true,GET,http://localhost:3000,Seed
true,GET,http://localhost:3000/robots.txt,Seed
true,GET,http://localhost:3000/sitemap.xml,Seed
true,GET,http://localhost:3000/OTHER/network/other/proxy.pac/?apinonce=69fc58f6263db3c0,
true,GET,http://localhost:3000/OTHER/network/other/rootCaCert/?apinonce=311b9b7e8ef6d2ad,
false,GET,https://www.zaproxy.org/docs/desktop/addons/network/options/servercertificates/,Out of Scope
true,GET,http://localhost:3000/UI,
false,GET,https://www.zaproxy.org/,Out of Scope
false,GET,https://groups.google.com/group/zaproxy-users,Out of Scope
false,GET,https://groups.google.com/group/zaproxy-develop,Out of Scope
false,GET,https://github.com/zaproxy/zaproxy/issues,Out of Scope
true,GET,http://localhost:3000/UI/,
true,GET,http://localhost:3000/UI/acsrf/,
true,GET,http://localhost:3000/UI/ajaxSpider/,
true,GET,http://localhost:3000/UI/alert/,
true,GET,http://localhost:3000/UI/alertFilter/,
true,GET,http://localhost:3000/UI/acsrf/view/optionPartialMatchingEnabled/,
true,GET,http://localhost:3000/UI/ascan/,
true,GET,http://localhost:3000/UI/acsrf/view/optionTokensNames/,
true,GET,http://localhost:3000/UI/authentication/,
true,GET,http://localhost:3000/UI/acsrf/action/addOptionToken/,
true,GET,http://localhost:3000/UI/alertFilter/view/alertFilterList/,
true,GET,http://localhost:3000/UI/acsrf/action/removeOptionToken/,
true,GET,http://localhost:3000/UI/alert/view/alert/,
true,GET,http://localhost:3000/UI/ajaxSpider/view/allowedResources/,
true,GET,http://localhost:3000/UI/automation/,
true,GET,http://localhost:3000/UI/acsrf/action/setOptionPartialMatchingEnabled/,
true,GET,http://localhost:3000/UI/acsrf/other/genForm/,
true,GET,http://localhost:3000/UI/alertFilter/view/globalAlertFilterList/,
true,GET,http://localhost:3000/UI/authorization/,
true,GET,http://localhost:3000/UI/alert/view/alertCountsByRisk/,
true,GET,http://localhost:3000/UI/autoupdate/,
true,GET,http://localhost:3000/UI/ajaxSpider/view/excludedElements/,
true,GET,http://localhost:3000/UI/alert/view/alerts/,
true,GET,http://localhost:3000/script.js/?apinonce=f79097ada333bc31&v=2,
true,GET,http://localhost:3000/UI/alertFilter/action/addAlertFilter/,
true,GET,http://localhost:3000/UI/ascan/view/alertsIds/,
true,GET,http://localhost:3000/script.js/?apinonce=30a0ae573dafef5b&v=2,
true,GET,http://localhost:3000/UI/alert/view/alertsByRisk/,
true,GET,http://localhost:3000/script.js/?apinonce=a6f3d8fb390ed946&v=2,
true,GET,http://localhost:3000/UI/authentication/view/getAuthenticationMethod/,
true,GET,http://localhost:3000/UI/ascan/view/attackModeQueue/,
true,GET,http://localhost:3000/UI/ajaxSpider/view/fullResults/,
true,GET,http://localhost:3000/script.js/?apinonce=32ea6b1ef860af8f&v=2,
true,GET,http://localhost:3000/script.js/?apinonce=c4e41414b0e98cf9&v=2,
true,GET,http://localhost:3000/UI/authentication/view/getAuthenticationMethodConfigParams/,
true,GET,http://localhost:3000/UI/client/,
true,GET,http://localhost:3000/script.js/?apinonce=b2197225f9814123&v=2,
true,GET,http://localhost:3000/UI/break/,
true,GET,http://localhost:3000/UI/alert/view/alertsSummary/,
true,GET,http://localhost:3000/script.js/?apinonce=69aa00e9667065e5&v=2,
true,GET,http://localhost:3000/UI/alert/view/numberOfAlerts/,
true,GET,http://localhost:3000/UI/clientSpider/,
true,GET,http://localhost:3000/UI/authentication/view/getLoggedInIndicator/,
true,GET,http://localhost:3000/script.js/?apinonce=4dc363937aab78f6&v=2,
true,GET,http://localhost:3000/UI/context/,
